site_no,event_id,peak_date,peak_value,peak_quantile,peak2zero,drying_rate,p_value,calendar_year,season,meteorologic_year,dry_date_start,dry_date_mean,dry_dur
08052700,330,264,1.1,0.5247160557563242,21,0.39254980516377785,0.11052480293141664,1992,Fall,1992,284,287.5,8
08052700,331,293,0.2,0.311564274651523,5,-0.6666666666666665,0.42264973081037427,1992,Fall,1992,297,300.5,8
08052700,333,307,0.4,0.3949406298399587,4,0.32932801084405855,0.42885706986802347,1992,Fall,1992,310,310,1
08052700,361,148,6.8,0.7310273618998451,8,0.3345347691540436,0.21184298007675603,1993,Spring,1993,155,156,3
08052700,365,179,4.8,0.693598347960764,5,0.7095436215989058,0.12679255294129166,1993,Summer,1993,183,218.5,72
08052700,400,171,21,0.8246644295302014,11,0.8196128448703525,3.387531369337551e-4,1994,Summer,1994,181,184,7
08052700,443,161,141,0.9264971605575633,29,0.9572787785729133,9.586351783550074e-19,1995,Summer,1995,189,194.5,12
08052700,444,202,0.2,0.311564274651523,3,4.377507880875871e-16,NA,1995,Summer,1995,204,207.5,8
08052700,446,217,0.5,0.4238513164687661,3,1.321928094887361,NA,1995,Summer,1995,219,239,41
08052700,448,263,0.6,0.4484383066597832,3,1.584962500721155,NA,1995,Summer,1995,265,265.5,2
08052700,449,269,0.5,0.4238513164687661,3,0.26185950714291506,NA,1995,Summer,1995,271,272,3
08052700,450,275,0.2,0.311564274651523,14,NA,NA,1995,Fall,1995,288,296,17
08052700,451,306,0.4,0.3949406298399587,3,0.9999999999999992,NA,1995,Fall,1995,308,321.5,28
08052700,453,341,0.4,0.3949406298399587,21,0.0793017543434628,0.7729201003122486,1995,Fall,1995,361,361,1
08052700,457,23,0.3,0.356672689726381,3,0.5849625007211556,NA,1996,Winter,1995,25,32,15
08052700,459,62,0.7,0.4690887971089313,6,0.5648236621369268,0.3737011974057807,1996,Winter,1995,67,67,1
08052700,460,69,0.2,0.311564274651523,3,4.377507880875871e-16,NA,1996,Winter,1995,71,71,1
08052700,463,87,33,0.8510583376355189,4,1.4895230945338231,0.1104515733069845,1996,Winter,1995,90,91,3
08052700,465,104,1.5,0.5599509550851832,5,0.5900655879961305,0.07625014516734095,1996,Spring,1996,108,108,1
08052700,466,109,0.2,0.311564274651523,3,4.377507880875871e-16,NA,1996,Spring,1996,111,111,1
08052700,469,134,0.3,0.356672689726381,3,0.5849625007211556,NA,1996,Spring,1996,136,143.5,16
08052700,470,153,2.1,0.6028007227671657,5,0.9776404512916096,0.0856010733224029,1996,Spring,1996,157,157,1
08052700,472,164,74,0.8948115642746515,8,1.4284514891644244,9.453027434640542e-4,1996,Spring,1996,171,181.5,22
08052700,473,194,12,0.7872354155911203,7,1.3442853260887377,0.025317582500797343,1996,Summer,1996,200,206,13
08052700,474,234,6.8,0.7310273618998451,5,2.290944438098683,0.1736500668481053,1996,Summer,1996,238,238,1
08052700,477,246,153,0.9297237996902427,10,1.2701323601293621,1.9052320098202744e-4,1996,Summer,1996,255,255,1
08052700,480,271,0.3,0.356672689726381,10,-0.1666666666666663,0.7209712020732311,1996,Fall,1996,280,281,3
08052700,507,129,1.9,0.591313887454827,7,0.2833315676320223,0.07247390142065155,1997,Spring,1997,135,135.5,2
08052700,510,148,3.8,0.6678497676819825,9,0.48058486613057044,0.013536331681936084,1997,Spring,1997,156,157.5,4
08052700,513,173,2.5,0.6222896231285493,5,0.32986033313556107,0.3344161398625263,1997,Spring,1997,177,177,1
08052700,514,179,7.3,0.7381259679917398,7,0.5935966232333442,0.0032782763271987743,1997,Summer,1997,185,201,33
08052700,515,218,24,0.8326664945792462,8,0.7761943066566284,0.016799971925361614,1997,Summer,1997,225,228.5,8
08052700,516,234,0.3,0.356672689726381,5,-0.3234554520633607,0.5163079242999351,1997,Summer,1997,238,259,43
08052700,538,89,0.4,0.3949406298399587,3,1.4666150516722394e-16,NA,1998,Spring,1998,91,92,3
08052700,540,96,1.6,0.5683402168301497,4,0.5868645423335086,0.4221281086930564,1998,Spring,1998,99,99.5,2
08052700,541,101,0.4,0.3949406298399587,2,NA,NA,1998,Spring,1998,102,103,3
08052700,543,110,0.5,0.4238513164687661,3,1.321928094887361,NA,1998,Spring,1998,112,113.5,4
08052700,544,116,1.2,0.535234899328859,5,-0.0403016506408764,0.8749019368828088,1998,Spring,1998,120,123.5,8
08052700,545,128,2.8,0.6350671140939598,3,0.4864772062124324,NA,1998,Spring,1998,130,201.5,144
08052700,547,278,1.5,0.5599509550851832,3,0.5439593106327714,NA,1998,Fall,1998,280,284.5,10
08052700,548,290,34,0.8524780588538978,5,1.1628083645359362,0.02870054513490426,1998,Fall,1998,294,298.5,10
08052700,549,305,1.8,0.5836344863190501,3,0.6826061944859851,NA,1998,Fall,1998,307,310,7
08052700,551,316,130,0.9235286525554982,9,1.087830314385663,4.652018657316216e-6,1998,Fall,1998,324,327,7
08052700,562,37,8.8,0.7609705730511099,7,0.8238017855565315,0.010799614460918545,1999,Winter,1998,43,50.5,16
08052700,568,92,185,0.9388229220443985,16,0.8962916220430351,5.591848350224006e-6,1999,Spring,1999,107,109,5
08052700,570,123,48,0.8714506969540526,5,1.0637346150155695,0.007806262547654616,1999,Spring,1999,127,127,1
08052700,571,129,193,0.9405007743933919,11,0.05805368816898446,0.8683994607875658,1999,Spring,1999,139,141.5,6
08052700,576,173,2.4,0.6175141972121838,11,0.7617656311884872,0.0024043518841190257,1999,Summer,1999,183,184.5,4
08052700,577,189,1.8,0.5836344863190501,6,1.1400872906198514,0.09110973770957619,1999,Summer,1999,194,224,61
08052700,578,280,0.2,0.311564274651523,2,NA,NA,2001,Fall,2001,281,281,1
08052700,579,285,1300,0.9936112545172948,15,0.9708392990704627,4.415343210292354e-4,2001,Fall,2001,299,299.5,2
08052700,582,313,0.3,0.356672689726381,6,-0.6037593748197114,0.5444899978904921,2001,Fall,2001,318,321.5,8
08052700,605,164,0.4,0.3949406298399587,10,0.05077505761100212,0.8820466081850328,2002,Spring,2002,173,174,3
08052700,606,184,1.5,0.5599509550851832,9,0.9192478944941106,0.020016018829788765,2002,Summer,2002,192,192,1
08052700,607,195,27.3,0.8398296334537946,19,0.823589922810694,5.861149543617478e-5,2002,Summer,2002,213,219.5,14
08052700,608,229,0.2,0.311564274651523,2,NA,NA,2002,Summer,2002,230,233,7
08052700,610,244,0.5,0.4238513164687661,2,NA,NA,2002,Summer,2002,245,245,1
08052700,612,252,1.9,0.591313887454827,14,0.23748327011347717,0.32333522528114256,2002,Summer,2002,265,271,13
08052700,617,306,41.1,0.8626097057305111,9,0.7284635061308203,0.0031870538828169433,2002,Fall,2002,314,317,7
08052700,623,343,272,0.9534073309241095,10,1.0786336736494893,1.8214597083391372e-6,2002,Fall,2002,352,353.5,4
08052700,625,364,917,0.9886422302529685,14,1.0186303253420623,2.0564032530012178e-6,2003,Winter,2002,12,15,7
08052700,626,20,0.4,0.3949406298399587,6,-0.24051593217167022,0.4434383823287761,2003,Winter,2002,25,25.5,2
08052700,640,120,6,0.7187016004130098,12,0.38504392123684444,0.015571450487451887,2003,Spring,2003,131,132,3
08052700,641,136,0.6,0.4484383066597832,3,9.765776891268478e-17,NA,2003,Spring,2003,138,138,1
08052700,650,192,3.3,0.6529426948890036,4,0.8689011973552772,0.3021913501349662,2003,Summer,2003,195,223.5,58
08052700,653,262,1.6,0.5683402168301497,13,0.4095387132616368,0.09185660186180923,2003,Fall,2003,274,274.5,2
08052700,667,45,17.6,0.8122096024780588,6,0.4906238438630079,0.20018795104640044,2004,Winter,2003,50,51,3
08052700,671,73,8,0.7488384099122354,4,0.9874143597702915,0.304643312819115,2004,Winter,2003,76,84,17
08052700,734,153,9.2,0.765358802271554,22,0.44897781326902897,0.010448265272364404,2005,Spring,2005,174,196.5,46
08052700,736,224,0.9,0.5019359834796077,12,-0.3859705280705581,0.21793442114364966,2005,Summer,2005,235,274,79
08052700,743,55,1.1,0.5247160557563242,3,-0.36907024642854247,NA,2006,Winter,2005,57,66,19
08052700,754,131,1,0.5138745482705214,59,0.5965945707785432,3.9805913012937584e-7,2006,Summer,2006,189,224,71
08052700,755,261,0.5,0.4238513164687661,15,-0.157992546100596,0.7230464669156657,2006,Fall,2006,275,278.5,8
08052700,757,288,1.9,0.591313887454827,4,-0.006306695391195949,0.9921355715328577,2006,Fall,2006,291,293.5,6
08052700,758,309,64.5,0.8879065565307176,3,0.908501296568144,NA,2006,Fall,2006,311,321.5,22
08052700,759,333,69.1,0.8915203923593186,4,0.7599327626811877,0.3180742246080376,2006,Fall,2006,336,342,13
08052700,766,32,0.8,0.4879969024264326,7,0.11735972695517252,0.4020620753240974,2007,Winter,2006,38,38,1
08052700,767,45,0.7,0.4690887971089313,7,-0.44620467538406067,0.6479074778758077,2007,Winter,2006,51,51.5,2
08052700,826,191,0.3,0.356672689726381,20,-0.3430043539047741,0.13820072386433263,2008,Summer,2008,210,210.5,2
08052700,827,213,0.2,0.311564274651523,2,NA,NA,2008,Summer,2008,214,218.5,10
08052700,832,257,0.3,0.356672689726381,3,0.5849625007211556,NA,2008,Summer,2008,259,268,19
08052700,833,281,0.3,0.356672689726381,4,-0.6845351232142726,0.42885706986802224,2008,Fall,2008,284,285.5,4
08052700,837,315,2.1,0.6028007227671657,4,1.1870754553669494,0.030017299669729377,2008,Fall,2008,318,319.5,4
08052700,841,344,0.9,0.5019359834796077,3,0.892789260714372,NA,2008,Fall,2008,346,346,1
08052700,856,72,50.9,0.8742901393908106,6,0.8335097941945891,0.01841904857334307,2009,Winter,2008,77,88.5,24
08052700,858,107,2.7,0.6299690242643263,7,0.13764666911238532,0.6135838789338619,2009,Spring,2009,113,115,5
08052700,865,161,77.8,0.8972638100154878,18,1.1314932364993482,1.728720884885992e-8,2009,Spring,2009,178,178,1
08052700,866,180,0.7,0.4690887971089313,4,0.6609640474436813,0.04220144186121389,2009,Summer,2009,183,184,3
08052700,867,187,0.2,0.311564274651523,3,4.377507880875871e-16,NA,2009,Summer,2009,189,194.5,12
08052700,897,67,213,0.9437274135260713,11,0.984117073826174,1.586976244608974e-7,2010,Winter,2009,77,77,1
08052700,900,92,2.1,0.6028007227671657,6,0.5318344283203599,0.05968183153167713,2010,Spring,2010,97,101.5,10
08052700,901,108,4.1,0.6760454310789882,4,0.5032930493149329,0.11664596380784747,2010,Spring,2010,111,122,23
08052700,902,134,9.1,0.764713474445018,3,1.4924707782226114,NA,2010,Spring,2010,136,159,47
08052700,903,191,9.3,0.7660041300980899,10,1.3354403847601817,1.760325406450544e-4,2010,Summer,2010,200,215,31
08052700,904,238,0.3,0.356672689726381,5,-0.079869147404278,0.8948830949082484,2010,Summer,2010,242,242,1
08052700,905,244,11.9,0.7843959731543624,5,0.9528752152758012,0.07023021847078835,2010,Summer,2010,248,248,1
08052700,933,183,0.2,0.311564274651523,11,-0.8888888888888892,0.03526520347507974,2011,Summer,2011,193,209.5,34
08052700,979,159,0.7,0.4690887971089313,56,0.5363556796582032,4.672280815604702e-4,2013,Summer,2013,214,238,49
08052700,1039,189,0.3,0.356672689726381,22,-0.2666807898797627,0.4042106971903401,2015,Summer,2015,210,212.5,6
08052700,1040,217,0.3,0.356672689726381,6,-0.12694899722520248,0.8317592054857412,2015,Summer,2015,222,230,17
08052700,1075,209,0.5,0.4238513164687661,17,-0.2726124418111021,0.16144874829126718,2016,Summer,2016,225,225,1
08052700,1078,245,0.2,0.311564274651523,8,-0.8333333333333323,0.117386795146294,2016,Summer,2016,252,252,1
08052700,1079,254,0.2,0.311564274651523,6,-0.75,0.2722284012244164,2016,Summer,2016,259,259.5,2
