"","q5","q25","q50","q75","gage"
"1",0,0,0,15.4107032547405,"GBJ"
"2",0,0,0,8.54827155382962,"KMZ"
"3",0,0,0,0,"SHN"
"4",0,2.36139884195052,5.55625849451302,15.3477114854765,"TAL"
"5",0,0,0,0,"WHR"
"6",0,0,0,5.89696880217688,"YMR"
