gage,threshold,wet_DateTime,q,rewetting_event,weting_subevent,inital_rewetting_rate,p_value_i,rewetting_rate,p_value,sample_rate
2264000,0.25,1999-06-26T22:00:00Z,0,20,0,0.09071433881091653,0.8112053208952021,0.09071433881091653,0.8112053208952021,1
2264000,0.25,1999-06-27T04:00:00Z,0.3,20,1,0.09071433881091653,0.8112053208952021,0.09071433881091653,0.8112053208952021,1
2264000,0.25,1999-09-15T02:00:00Z,0,21,0,-0.541127743176838,0.12556963557975873,-0.541127743176838,0.12556963557975873,1
2264000,0.25,1999-09-15T13:00:00Z,0.5,21,1,-0.541127743176838,0.12556963557975873,-0.541127743176838,0.12556963557975873,1
2264000,0.25,2000-07-09T04:00:00Z,0,22,0,0.013677249846196317,0.44668473701645495,0.024381463263219456,0.0151051302403491,1
2264000,0.25,2000-07-27T06:00:00Z,0.2,22,1,0.013677249846196317,0.44668473701645495,0.024381463263219456,0.0151051302403491,1
2264000,0.25,2000-07-29T03:00:00Z,0.2,22,2,0.013677249846196317,0.44668473701645495,0.024381463263219456,0.0151051302403491,1
2264000,0.25,2000-07-12T04:00:00Z,0.1,23,0,0.0019458400516273312,0.9111795839007595,0.019643970147885142,0.03081449149922755,1
2264000,0.25,2000-07-27T02:00:00Z,0.2,23,1,0.0019458400516273312,0.9111795839007595,0.019643970147885142,0.03081449149922755,1
2264000,0.25,2000-07-29T03:00:00Z,0.2,23,2,0.0019458400516273312,0.9111795839007595,0.019643970147885142,0.03081449149922755,1
2264000,0.25,2006-06-20T22:00:00Z,0,26,0,0.13399282039138516,0.4081582068554265,0.07786772690309021,0.018280167164610252,1
2264000,0.25,2006-06-21T12:00:00Z,0.1,26,1,0.13399282039138516,0.4081582068554265,0.07786772690309021,0.018280167164610252,1
2264000,0.25,2006-06-25T05:00:00Z,0.2,26,2,0.13399282039138516,0.4081582068554265,0.07786772690309021,0.018280167164610252,1
2264000,0.25,2006-06-26T10:00:00Z,0.4,26,3,0.13399282039138516,0.4081582068554265,0.07786772690309021,0.018280167164610252,1
2264000,0.25,2006-12-15T09:00:00Z,0,27,0,0.09744932392100661,0.44175482778947617,0.13699856699366994,1.1780069267897506e-5,1
2264000,0.25,2006-12-16T03:00:00Z,0.1,27,1,0.09744932392100661,0.44175482778947617,0.13699856699366994,1.1780069267897506e-5,1
2264000,0.25,2006-12-23T16:00:00Z,0.4,27,2,0.09744932392100661,0.44175482778947617,0.13699856699366994,1.1780069267897506e-5,1
2264000,0.25,2007-06-24T06:00:00Z,0,28,0,0.05955236461839342,0.3243747105262055,0.036325975658054364,0.12916136408067283,1
2264000,0.25,2007-06-25T18:00:00Z,0.1,28,1,0.05955236461839342,0.3243747105262055,0.036325975658054364,0.12916136408067283,1
2264000,0.25,2007-07-03T08:00:00Z,0.1,28,2,0.05955236461839342,0.3243747105262055,0.036325975658054364,0.12916136408067283,1
2264000,0.25,2007-08-24T18:00:00Z,0,29,0,0.28471298239519244,0.30447528204128677,0.28471298239519244,0.30447528204128677,1
2264000,0.25,2007-08-25T02:00:00Z,0.9,29,1,0.28471298239519244,0.30447528204128677,0.28471298239519244,0.30447528204128677,1
2264000,0.25,2008-01-12T20:00:00Z,0,30,0,0.13399282039138533,0.45330149202694736,0.10038083482260118,0.08332769060287298,1
