Region,Watershed,Site,Samplers,Date,Time (CST),Time (UTC),Temp (*C),Pressure (mmHg),DO (%),DO (mg/L),Specific Cond. (uS/cm),Cond. (uS),pH,TDS (mg/L),Turbidity (NTU),Connected?,Flowing?,Weather,Samples Not Collected,Site Notes,Soil Temp (*C),Temp of waterbath(*C)
Great Plains,Shane's,SHB01,"SF, RW",4/24/23,10:55,,,,,,,,,,,N,N,"warm, sunny",all,dry,12,
Great Plains,SF King's,04M05,"SF, CB, JW, RW",4/24/23,17:15,,12.8,728.1,86.5,9.14,592,453.7,7.69,384,9.21,Y,Y,"cool, sunny",TSS,"bison crossed upstream of site, water looks muddy and does not look like it will clear anytime soon",12.8,
Great Plains,SF King's,04M09,"SF, CB, JW, RW",4/24/23,18:07,,14.7,726.7,88,8.93,571,458.3,7.92,371,-0.11,Y,Y,"cool, sunny",TSS,"pools on either side of STIC, connected and flowing upstream",14.7,
Great Plains,SF King's,04M01,"RW, CB, SF, JW",4/24/23,15:29,,13.8,729.8,72,7.45,564,443.8,7.56,367,,Y,Y,sunny pleasant breezy,TSS,,13.8,
Great Plains,SF King's,04M03,"RW, CB, SF, JW",4/24/23,16:30,,17.2,728.5,96.9,9.3,571,486.1,7.97,371,2.23,Y,Y,"cool, sunny",TSS,,17.2,
Great Plains,Shane's,SHB07,"SF, RW",4/24/23,12:40,,,,,,,,,,,N,N,warm sunny,all,dry,13.9,
Great Plains,SF King's,SFM07,"SF, RW",4/24/23,14:40,,,,,,,,,,,N,N,sunny,All but DEA Seds,"30% leaves, 10% silt, 60% gravel, dry",16.6,
Great Plains,SF King's,SFM01,"CB, SF",4/21/23,12:12,,12.5,732,78.7,8.39,582,44.5,7.35,377,2.88,Y,Y,clear,TSS,,12.5,
Great Plains,Shane's ,SHB03,"RW, SF, CB, CW, JW",4/24/23,11:15,,,,,,,,,,,N,N,warm sunny,All but DEA Seds,Dry,13.8,
Great Plains ,Shane's ,SHB04,"RW, SF, CB, CW, JW",4/24/23,11:45,,,,,,,,,,,N,N,warm sunny,All but DEA Seds,Dry,15.1,
GP,Youngmeyer,EN201,"RR, JH, & ES",4/12/22,09:06,4:06 AM,14.6,714.8,91.7,9.1,485.2,390.2,7.64,315,NA,Y,Y,"Windy, cloudy, humid ",GHG Rep 3,,,
GP,Youngmeyer,ENM06,"RR, JH, & ES",4/12/22,10:21,5:21 AM,16.4,713.7,94.7,9.27,533,445,7.35,346,NA,Y,Y,"sun w/ clouds, windy",,,,
GP,Youngmeyer,ENM08,ES & JH,4/12/22,14:01,09:01,24.9,711.1,136.8,11.51,553,548,7.37,859,NA,Y,Y,"Sunny, windy",,"Lots of fil algae, wind driven water movement, very shallow (<2 in)",,
GP,Youngmeyer,ENM11,ES & JH,4/12/22,15:12,10:12,25.23,709.6,149.9,12.41,504,503,7.49,328,NA,Y,Y,"Sunny, windy",,Lots of fil green algae! Samples were taken 5 m downstream because there was very little water by the well,,
GP,Youngmeyer,ENM01,CLB JH,4/11/22,13:00,08:00,13.1,722.4,93.7,9.83,492.4,380.6,7.65,NA,NA,Y,Y,"cloudy, nice",,6.8 m wet width; really flowing; super sensor download unplugged 13:10 ,,
GP,Youngmeyer,ENM04,CLB JH,4/11/22,19:03,13:03,16.4,719.1,93.9,9.17,506,422.7,7.5,329,NA,Y,Y,"sunny, no clouds",,very shallow flow,,
GP,Youngmeyer,EN301,"JH, SZ, ES",4/11/22,12:22,07:22,23.1,713.9,107.6,9.32,529,508,7.35,343,NA,Y,Y,"sunny, windy",,YSI & TSS was collected 7 m downstream of the well. Little water in the stream (< 1 in),,
GP,Youngmeyer,ENM01,"KZ, SR, LS, CB, JH",7/14/22,10:30,,25.1,726.6,83.1,6.82,537,536,3.45?,,,Y,Y,"sunny, no clouds",,,,
GP,Youngmeyer,EN201,"KZ, SR, LS, CB, JH",7/14/22,11:40,,22.1,725.5,33.2,2.86,634,596,3.02?,,,No,No,sunny,,,,
GP,Youngmeyer,EN301,"SR, KZ, CB, LS",7/14/22,12:41,,,,,,,,,,,No,No,"sunny, no clouds",,GW well tape measurement: 1.5m. 1.75m before recharge. DRY,,
GP,Youngmeyer,ENM04,"SR, KZ, CB, LS",7/14/22,13:30,,27.9,725.4,90.7,7.07,588,621,,,,,,,,GW depth: 1.17m. Before recharge: 1.43m,,
GP,Youngmeyer,ENM06,"SR, KZ, CB, LS",7/14/22,14:02,,33.3,723.5,97.5,6.82,545,639,,,,Y,Y,,,GW depth: 1.45m,,
GP,Youngmeyer,ENM08,"SR, KZ, CB, LS",7/14/22,15:34,,,,,,,,,,,,,,,GW depth: 1.67m. Completely dry,,
GP,Youngmeyer,ENM11,"SR, KZ, CB, LS",7/14/22,15:44,,,,,,,,,,,,,,,"Completely dry, PI completely dry",,
GP,Youngmeyer,ENM08,"CTW, CB, JH",5/1/23,,,,,,,,,,,,N,N,,,Dry,22.4,
GP,Youngmeyer,ENM01,"JW, SF, CW, CB",5/1/23,11:50,,14.2,724.8,62,6.35,549,435.2,7.39,,,N,N,"sunny, windy, mild",TSS,"stream bifurcates at STIC sensor, stream is not flowing",14.2,
GP,Youngmeyer,EN201,"CTW, CLB, JF",5/1/23,,,,,,,,,,,,,,,All,Dry,14.2,
GP,Youngmeyer,EN301,"CTW, CLB, JF",5/1/23,,,,,,,,,,,,N,N,,All,Dry,19.1,
GP,Youngmeyer,ENM04,"JW, SF, CW, CB",5/1/23,,,,,,,,,,,,N,N,"swarm, breezy, sunny",All,"dry, pool upstream",18.7,
GP,Youngmeyer,ENM06,"SF, JW, RR",5/1/23,14:00,,17,722.2,86.3,8.32,515,436.4,7.28,335,3.15,Y,N,warm breezy sunny,TSS,so much algae,17,
GP,Youngmeyer,ENM11,"SF, JW, RR",5/1/23,15:00,,,,,,,,,,,N,N,warm sunny breezy,All,Dry,22.9,
GP,Youngmeyer,ENM01,"JH, JF, SF, CB",7/20/23,08:00,,24.3,726.7,38.5,3.1,1051,1037,7.36,683,1.1,Y,Y,"Sunny, humid, no breeze ",,"Stream flowing, lots of vegetation next to and surrounding water ",24.3,24.3
GP,Youngmeyer,EN301,"JH, JF, SF, CB",7/20/23,11:50,,,,,,,,,,,N,N,"Hot, sunny ",,Dry,29.9,
GP,Youngmeyer,ENM04,"JH, JF, SF, CB",7/20/23,09:10,,24.1,726.2,92.8,7.77,504,494.9,7.87,327,4,Y,Y,"Overcast, warm, breezy",,"Very shallow, had to use extra vial for GHG 3",24.1,24.1
GP,Youngmeyer,EN201,"JH, JF, SF, CB",7/20/23,09:50,,22.1,,,,,,,,,N,Y,"Overcast, warm",Not deep enough for YSI,"Water up and downstream, disconnected at top of LTM, not deep enough for YSI, used soil therm",22.1,
GP,Youngmeyer,ENM06,"JH, JF, SF, CB",7/20/23,10:44,,27.1,725.7,107.6,8.56,538,559,7.68,349,4,Y,Y,"Hot, sunny, some clouds",,MIMs are ENM04,27.1,
GP,Youngmeyer,ENM08,"JH, JF, SF, CB",7/20/23,11:15,,32.6,,,,,,,,,N,N,,All,Dry!,,
GP,Youngmeyer,ENM11,"JH, JF, SF, CB",7/20/23,11:26,,,,,,,,,,,N,N,"Some clouds, breezy, hot",All,dry,27.6,
GP,Youngmeyer,ENM01,"CW, CB, JW, AS",6/8/23,15:22,,21.1,721.6,60.3,5.32,529,488.9,7.29,342,-0.85,Y,Y,"sunny, 70's",,Only connected upstream of supersensor (6m),NA,
GP,Youngmeyer,ENM06,"CW, CB, JW, AS",6/8/23,16:15,,25.7,720.3,94.5,7.65,436.8,442.2,7.52,284,114.62,Y,Y,"Sunny, 80's",TSS,Flow too low for slug,NA,
GP,Youngmeyer,ENM08,"CW, JW, AS",6/8/23,,,,,,,,,,,,,,"Sunny, 80's",All,DRY,29.1,
GP,Youngmeyer,ENM11,"CW, JW, AS",6/8/23,,,,,,,,,,,,,,"Sunny, 80's",All,DRY,25.4,
GP,Youngmeyer,ENM04,"SF, CW, AS",6/8/23,16:01,,23.5,720.6,88.1,7.48,517,502,7.78,336,104.51,Y,Y,"Sunny, 80's",,Only connected ~8m upstream of site,NA,
GP,Youngmeyer,EN201,"SF, CW, AS",6/8/23,17:30,,,,,,,,,,,,,"Sunny, 80's",All,Dry,20.4,
GP,Youngmeyer,EN301,"SF, CB",6/6/23,18:20,,,,,,,,,,,,,,,DRY,26.5,
