siteId,sublocation,elevation,long,lat,twi,distance_from_outlet,drainage_area_m,drainage_area_ha,slope_point,slope_buffer,stream_slope,appr1,appr2,appr3,appr4
TLM03,HS,348.1,-85.59631656,33.76149133,17.6,152,762000,76.2,1.2,3.1,1,1,0,1,0
TLM02,HS,347,-85.59612852,33.76202192,16.9,72,903679,90.4,2.7,8.9,0.3,1,0,1,0
TLM08,HS,356.9,-85.60121468,33.76058137,16.2,858,573476,57.3,3.5,11.7,1.8,1,0,1,0
TLM01,SW,346.2,-85.59550775,33.76219799,17.3,0,917928,91.8,1.9,7,0.4,1,1,1,0
TLX03,HS,418.8,-85.60553138,33.76910396,11.1,2237,9139,0.9,9.6,14.8,9.3,1,0,1,0
TLX02,HS,424.3,-85.60604889,33.76915142,11.2,2245,15344,1.5,14.2,17.6,13,1,0,1,0
TLX01,HS,405.2,-85.6057692,33.76857391,11.9,2174,31588,3.2,13.9,18.5,11.5,1,0,1,0
TLM19,SW,399.7,-85.60573527,33.76820728,14.4,2129,92188,9.2,3.6,19.9,4.6,1,1,1,0
TLY02,HS,400.1,-85.6059828,33.76707803,11.8,2122,14635,1.5,7,10.7,5.9,1,0,1,0
TLY03,HS,402.2,-85.60621535,33.76748852,11.4,2117,18243,1.8,13,16.8,11.3,1,0,1,0
TLY01,HS,394.8,-85.60568816,33.7674243,13.2,2069,44138,4.4,5.3,9,5.1,1,0,1,0
TLMG5,HS,377.2,-85.60383882,33.76530577,15.8,1751,185731,18.6,1.7,9,1.5,1,0,1,0
TLAG4,HS,391.3,-85.6063868,33.76428576,13.8,1914,92646,9.3,6.2,17.9,3.4,1,0,1,0
TLA05,HS,399.8,-85.6077817,33.76430983,12.8,2057,31727,3.2,6,12.5,3.9,1,0,1,0
TLA06,HS,402.8,-85.6081551,33.7640227,12.9,2101,25178,2.5,4,10,3.1,1,0,1,0
TLA08,HS,399,-85.60780891,33.76509258,12.4,2078,24227,2.4,6.5,6.9,5.5,1,0,1,0
TLA07,HS,397,-85.60769229,33.76490814,14.1,2055,38960,3.9,2,9.2,3.8,1,0,1,0
TLZ03,HS,365.6,-85.60404969,33.76152078,13.2,1187,27098,2.7,3.2,7.2,4.1,1,0,1,0
TLZ02,HS,366.8,-85.60398291,33.7613369,12.6,1196,15370,1.5,3.6,7.1,4,1,0,1,0
TLZ01,HS,363.1,-85.60336284,33.76147139,14.2,1124,57449,5.7,2.6,5.5,2.1,1,0,1,0
TLCG1,HS,350.7,-85.59761542,33.76128968,16.4,251,106546,10.7,0.5,3.9,0.8,1,0,1,0
TLCG2,HS,353.6,-85.59845045,33.76203167,15,380,92842,9.3,1.8,5.5,1.6,1,0,1,0
TLC03,HS,361,-85.60019319,33.76272568,12.8,585,16387,1.6,3.1,13.6,2.3,1,0,1,0
TLC04,HS,366.8,-85.60078591,33.76304871,11.2,651,9622,1,8.8,13.2,8,1,0,1,0
TLC05,HS,360.8,-85.59972549,33.76329473,13.2,576,31907,3.2,3.9,13.6,2.6,1,0,1,0
TLC06,HS,366.5,-85.60045433,33.7638274,12.7,663,24964,2.5,5.1,16.3,5.1,1,0,1,0
TLC07,HS,370.8,-85.6004578,33.76422698,12.7,709,15971,1.6,3.3,12.1,4.1,1,0,1,0
TLB02,HS,359.2,-85.59949737,33.75893874,14.1,727,46538,4.7,2.4,7.1,1.8,1,0,1,0
TLB03,HS,363.9,-85.59896433,33.7586247,11.9,791,13395,1.3,6.2,13.2,5.6,1,0,1,0
TLB04,HS,367.5,-85.5987073,33.75849693,11.1,819,9676,1,10.1,17.6,8.1,1,0,1,0
TLB05,HS,364.3,-85.59981464,33.75842626,12.7,798,23757,2.4,4.9,10.8,5.9,1,0,1,0
TLMG3,HS,349.1,-85.59681253,33.76102251,16.7,231,756276,75.6,2.8,5.2,0.8,1,0,1,0
TLM07,HS,353.5,-85.59962869,33.76005563,18.1,636,630023,63,0.6,3.8,1.4,1,0,1,0
TLM05,HS,352,-85.59850825,33.7603176,16.9,494,707738,70.8,2.2,3.1,1.6,1,0,1,0
TLR22,HW,415.1,-85.60425414,33.76951414,4.6,NA,NA,NA,10.1,10.1,NA,0,0,0,0
TLH19,HW,403.9,-85.60583649,33.76820733,4.4,NA,NA,NA,27.1,28.2,NA,0,0,0,0
TLR19,HW,399.8,-85.60574653,33.76819839,5.4,NA,NA,NA,13.3,19.4,NA,0,0,0,0
TLR16,HW,374.7,-85.60335328,33.7648246,5.4,NA,NA,NA,7.3,7.3,NA,0,0,0,0
TLH16,HW,376.5,-85.60329814,33.76491049,4.3,NA,NA,NA,16,15.6,NA,0,0,0,0
TLH06,HW,355.2,-85.59959398,33.76028939,5,NA,NA,NA,9.1,8.6,NA,0,0,0,0
TLR06,HW,353.6,-85.59951344,33.76013753,4.1,NA,NA,NA,2.9,2.4,NA,0,0,0,0
WHM01,SW,63.6,-88.0134,32.98414595,17.6,0,701374,70.1,0.9,6.7,0.7,1,1,0,0
WHA02,SW,67,-88.0111,32.98558943,15.5,312,121337,12.1,1.2,2.5,2,1,1,0,0
WHM03,SW,65.8,-88.0111,32.98521038,16,279,304712,30.5,2,3.7,0.7,1,1,0,0
WHB01,SW,65.5,-88.0112,32.98502037,16,266,224852,22.5,1.4,5.3,0.6,1,1,0,0
WHM02,HS,65.2,-88.0118,32.98493478,16.9,197,666518,66.7,1.8,3.9,0.6,1,0,0,0
WHM14,HS,79.9,-88.0025,32.98595644,13.9,1401,55815,5.6,2.8,8.1,1.7,1,0,0,0
WHM13,HS,78.9,-88.0029,32.98644974,14.6,1333,73592,7.4,1.9,4.9,0.1,1,0,0,0
WHM12,SW,78.5,-88.003,32.98672804,15.8,1296,78421,7.8,0.6,3.3,0.8,1,1,0,0
WHM11,HS,77,-88.004,32.98747755,15.5,1155,110993,11.1,1.2,2,0.9,1,0,0,0
WHM10,SW,75.6,-88.005,32.98750613,16.3,1052,148405,14.8,0.7,2.2,1,1,1,0,0
WHM09,HS,73,-88.0057,32.9868418,16.6,928,198093,19.8,0.7,11.3,0.9,1,0,0,0
WHM08,HS,71.7,-88.0069,32.98643513,15.7,795,224304,22.4,1.9,9.9,0.7,1,0,0,0
WHM07,SW,71,-88.0076,32.98619546,15.3,716,239825,24,3.2,6.6,0.4,1,1,0,0
WHM06,HS,70,-88.0083,32.98635175,16.5,635,258925,25.9,1,5.5,0.3,1,0,0,0
WHM05,HS,67.9,-88.0096,32.98585409,16,466,287673,28.8,1.9,6.6,0.3,1,0,0,0
WHM04,HS,66.6,-88.0105,32.98555804,15.8,359,299020,29.9,2.3,6.9,0.7,1,0,0,0
WHA01,HS,66.1,-88.0113,32.98529935,15.5,272,121734,12.2,1.3,2.2,1.3,1,0,0,0
