project,date,siteId,rType,rep,sublocation,month,time_cst,sub_watershed,burn_area,stream_order,elevation,flow_state,conductivity,canopy_cover_percent,long,lat,stic_sublocation,stream_temp_C_1wk_avg,stream_temp_C_2wk_avg,stream_temp_C_3wk_avg,percent_wet_1wk_avg,percent_wet_2wk_avg,percent_wet_3wk_avg,twi,distance_from_outlet,drainage_area,wetted_width,stream_depth_max,stream_depth_mean,slope_percent,weather,pH,stream_temperature,crewBGC,crewMicro
AIMS,20210605,01M01,ENVD,1,SW,June,15:35,01M,N1B,3,373.90979,flowing,560,44.8,-96.577021,39.086665,HS,14.99187221,15.52654275,15.52654275,1,1,1,16.61853981,1.4,28.3099,3.26,0.26,0.1839,1.965986462,"clear, some clouds, hot sunny 90s",8.07,18.5,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus"
AIMS,20210605,01M02,ENVD,1,SW,June,17:15,01M,N1B,3,375.4253235,flowing,562,74,-96.576332,39.086288,HS,15.00087667,15.62154647,15.62154647,1,1,1,15.35936356,1.51,27.8823,1.64,0.17,0.105,6.791313277,"sunny, clear, warm",8,17.9,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus"
AIMS,20210606,01M03,ENVD,1,SW,June,9:00,01M,N1B,3,378.8143921,flowing,557.7,2.1,-96.575936,39.084711,HS,16.58707281,16.81507807,16.89144344,1,1,1,15.67690945,1.7,25.997,1,0.13,0.062,4.621014623,"cloudy, warm, nice breeze",8.2,17.8,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus"
AIMS,20210606,01M04,ENVD,1,SW,June,10:37,01M,N1B,3,381.355896,flowing,542.8,85.4,-96.575156,39.083636,LS,16.35121842,16.62819331,16.70814712,1,1,1,15.51594639,1.84,24.7503,5.29,0.57,0.352,5.164930423,"some sun, cloudy",8.13,18.7,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus"
AIMS,20210606,01M05,ENVD,1,SW,June,12:15,01M,N1B,3,384.7107544,flowing,527.8,56.3,-96.574188,39.082643,HS,15.99708767,16.13474349,16.19757807,0.982169391,0.991078067,0.99167245,15.9600172,2,19.8808,1.6,0.14,0.091,2.666399599,"some sun, cloudy",8.18,19.1,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus"
AIMS,20210606,01M06,ENVD,1,SW,June,14:04,01M,N1B,2,394.2240906,flowing,575.6,60.4,-96.571582,39.080649,HS,14.76879643,15.05901859,15.15785566,1,1,1,15.75028801,2.46,10.5589,,0.24,0.144,1.747324665,"sunny, come clouds",7.99,17.5,"Connor Brown, Rachel Wakefield","Ken Aho, Michael J Braus"
AIMS,20210605,02M01,ENVD,1,SW,June,9:21,02M,N1A,1,353.3493958,flowing,546.1,71.9,-96.58813,39.09188,LS,15.83346211,16.46933086,16.46933086,1,1,1,17.50626373,0.102,24.1532,1.1,0.1143,0.078105,0.690609994,"sunny, 75deg, clear",7.94,16.7,"Erin Seybold, Amy Burgin","Kevin Kuehn, Charlie Bond, Diana Diaz, Brett Nave"
AIMS,20210605,02M02,ENVD,1,SW,June,11:06,02M,N1A,1,356.2748718,flowing,560.4,86.5,-96.58832556,39.09084425,HS,15.72499257,16.30161338,16.30161338,1,1,1,16.74125099,0.235,23.732,1.1,0.1016,0.0635,1.458008466,"sunny, clear, 80s",8.22,19,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz"
AIMS,20210605,02M03,ENVD,1,SW,June,13:14,02M,N2B,1,358.495636,flowing,558.4,92.7,-96.58859,39.08991,HS,15.89609212,16.3893829,16.3893829,1,1,1,15.93150425,0.36,20.3529,1.9,0.2159,0.143256,2.808448387,sunny (relentless),8.15,22,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz"
AIMS,20210605,02M04,ENVD,1,SW,June,15:00,02M,N2B,1,364.2157288,flowing,558,96.9,-96.589642,39.088242,,,,,,,,16.02225113,0.62,18.9885,1.6,0.1651,0.12573,2.393399355,"sunny, clear skies",8.12,21.9,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz"
AIMS,20210605,02M05,ENVD,1,SW,June,16:21,02M,N2B,1,367.7589417,flowing,564,28.1,-96.59082413,39.08698067,,,,,,,,16.33888054,0.809,17.783,2.1,0.2667,0.16637,1.63363215,sunny,8.18,20.3,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz"
AIMS,20210606,02M06,ENVD,1,SW,June,17:50,02M,N2B,1,369.4064026,flowing,561.2,46.9,-96.591427,39.087237,HS,16.0858841,16.22218587,16.26795281,1,1,1,15.4359417,0.88,15.6919,1.1,0.1016,0.05969,3.552439129,sunny,8.16,19.8,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Diana Diaz"
AIMS,20210606,02M07,ENVD,1,SW,June,10:05,02M,N2B,1,373.2965393,flowing,568.6,14.6,-96.59252,39.08648,HS,15.51903418,15.69292193,15.73883414,1,1,1,15.26016903,1.04,14.1328,1.95,0.3683,0.234315,3.813568313,"cloudy, cool, breeze",7.97,16.6,"Amy Burgin, Kaci Zarek","Brett Nave, Brooke Vogt"
AIMS,20210606,02M08,ENVD,1,SW,June,11:30,02M,N2B,1,376.8670044,flowing,566,51,-96.592913,39.085573,HS,15.38466568,15.59371004,15.64881332,1,1,1,15.93290806,1.2,12.9671,1.3,0.2159,0.09525,1.787641455,"overcast, breezy",7.98,17,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Brooke Vogt"
AIMS,20210606,02M09,ENVD,1,SW,June,12:54,02M,N2B,1,379.9472046,flowing,557.7,40.6,-96.59339,39.08482,HS,15.52729569,15.62343494,15.66680083,1,1,1,14.74790478,1.33,9.8943,1.3,0.127,0.061595,4.453773322,"75, overcast",7.71,17,"Erin Seybold, Amy Burgin, Kaci Zarek","Brett Nave, Brooke Vogt"
AIMS,20210606,02M10,ENVD,1,SW,June,15:00,02M,N2B,1,387.2233887,flowing,541.4,27.1,-96.59357,39.08251,HS,15.42985141,15.6312342,15.68870229,1,1,1,14.12819386,1.6,6.1497,1.7,0.127,0.09398,5.140935224,sunny,7.89,17.8,"Erin Seybold, Amy Burgin","Brett Nave, Kaci Zarek"
AIMS,20210606,02M11,ENVD,1,SW,June,16:40,02M,N2B,1,401.5448608,flowing,566.9,0,-96.593682,39.079249,HS,18.03800892,17.57932342,17.58943789,1,1,1,14.58442116,2,2.6741,0.25,0.0889,0.0889,1.420063582,BLANK,8.02,19.2,"Erin Seybold, Amy Burgin, Kaci Zarek",Brett Nave
AIMS,20210603,04M01,ENVD,1,SW,June,11:15,04M,N2B,2,355.1574097,flowing,534.5,76,-96.586195,39.089842,HS,15.25973254,15.88678231,15.88678231,1,1,1,16.12752151,0.32,39.7602,2,0.1524,0.09144,4.50414143,"hot, clear, sunny",8.33,18.3,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210605,04M02,ENVD,1,SW,June,14:50,04M,N2B,2,362.0723267,flowing,534.6,6.3,-96.58481,39.08775,HS,15.27976226,15.7386171,15.7386171,1,1,1,15.95807076,0.66,30.2096,3,0.2286,0.09144,4.055731079,sunny! Hot! Clear sky!,8.17,21.9,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210605,04M03,ENVD,1,SW,June,,04M,N4D,2,364.9915771,flowing,521.4,26,-96.58366,39.08685,HS,15.0523477,15.62947955,15.62947955,1,1,1,17.71474266,0.81,29.302,1.3,0.1016,0.05334,0.680164765,"hot, partly cloudly",8.16,22.6,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210605,04M04,ENVD,1,SW,June,16:03,04M,N4D,2,367.722168,flowing,548.1,65.6,-96.58345,39.08576,HS,14.93836553,15.36597026,15.36597026,1,1,1,15.89907742,0.95,28.413,1.7,0.2286,0.127,4.046366321,sunny,8.17,20.3,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210605,04M05,ENVD,1,SW,June,17:25,04M,N4D,2,370.0584717,flowing,559,96.9,-96.5831,39.08502,HS,14.80410104,15.18022305,15.18022305,1,1,1,16.17440605,1.06,23.8689,2,0.127,0.08382,2.583657999,"sunny, cooler in shade, breezy",8.04,17.8,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210606,04M06,ENVD,1,SW,June,8:30,04M,N4D,2,372.0547791,flowing,557.2,84.4,-96.58342,39.084258,HS,15.11215453,17.15255019,17.47975711,1,0.594052045,0.554476058,15.63758564,1.2,23.3323,1.5,0.20955,0.133985,4.314900413,"hot, cloudy, breezy",8.1,15.6,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
AIMS,20210606,04M07,ENVD,1,SW,June,10:00,04M,N4D,2,376.434906,flowing,557.3,70.8,-96.58253,39.08278,HS,14.79667162,14.99342007,15.02938931,1,1,1,17.33314705,1.4,15.1506,1.7,0.0762,0.02032,0.515087173,"overcast, mild temps",8.11,16.2,"Jess Wilhelm, Sarah Flynn","Kevin Kuehn, Charlie Bond"
