response,model_type,full_predictors,stepwise_predictors,rmse,r_squared,aic
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Q_14d",Q_14d,0.9437373446297581,0.06492683257489369,2681.905752527176
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Q_30d",Q_30d,0.9340876918740828,0.10693568270424794,2637.7322554429684
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Q_60d",Q_60d,0.9204270501520908,0.13266174879049258,2609.642646715403
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, exeProb","PercWet_1d, dPercWet_14d, exeProb",0.9169210295068858,0.15052396420494274,2599.644900226957
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Depth_1d","PercWet_1d, dPercWet_14d, Depth_1d",0.8790759626038438,0.21728373873061946,2520.987555253568
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Depth_7d","PercWet_1d, dPercWet_14d, Depth_7d",0.8602063360919365,0.25382161756943067,2475.0464060386307
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Depth_14d","PercWet_1d, dPercWet_14d, Depth_14d",0.8418284160346144,0.2687227835678685,2455.6610436423307
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Depth_30d","PercWet_1d, dPercWet_14d, Depth_30d",0.8465744195343612,0.2689656900015304,2455.3417777667933
minDO.pctsat,linear,"PercWet_1d, dPercWet_14d, Depth_60d","PercWet_1d, dPercWet_14d, Depth_60d",0.8661575892157158,0.21978201127545857,2517.915331376775
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, PPT_1d","PercWet_1d, dPercWet_30d, PPT_1d",0.9585455985125587,0.05593626374800375,2701.1014663159185
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, PPT_7d","PercWet_1d, dPercWet_30d, PPT_7d",0.9386306017251982,0.098796052025781525,2656.4513961566972
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, PPT_14d","PercWet_1d, dPercWet_30d, PPT_14d",0.9126881464761797,0.1438621569458833,2607.15190918201
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, PPT_30d","PercWet_1d, dPercWet_30d, PPT_30d",0.8744176032695975,0.1648160120941493,2583.338954401989
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, PPT_60d","PercWet_1d, dPercWet_30d, PPT_60d",0.9068662265776487,0.1398722743264994,2611.620080279186
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Q_1d","PercWet_1d, dPercWet_30d, Q_1d",0.9476271861461218,0.08986256415193529,2665.930726263482
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Q_7d","PercWet_1d, dPercWet_30d, Q_7d",0.940415404078722,0.10459815168803746,2650.2443170395504
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Q_14d","PercWet_1d, dPercWet_30d, Q_14d",0.9267866989674082,0.12130566677754415,2632.143385585855
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Q_30d","dPercWet_30d, Q_30d",0.9330566928869161,0.10938638575165094,2639.0915016736008
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Q_60d",Q_60d,0.9204270501520908,0.13266174879049258,2609.642646715403
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, exeProb","PercWet_1d, dPercWet_30d, exeProb",0.9415704283716476,0.14711881781326847,2603.4893930420694
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Depth_1d","PercWet_1d, Depth_1d",0.8890342202411071,0.21055335108641993,2523.215636448536
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Depth_7d","PercWet_1d, Depth_7d",0.8754445474221937,0.24060129177513992,2485.923734621693
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Depth_14d","PercWet_1d, Depth_14d",0.86512971122208715,0.24772986290394397,2476.8600992136057
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Depth_30d","PercWet_1d, dPercWet_30d, Depth_30d",0.859798368047913,0.2580107077500938,2469.6360932557322
minDO.pctsat,linear,"PercWet_1d, dPercWet_30d, Depth_60d","PercWet_1d, dPercWet_30d, Depth_60d",0.8757232053128648,0.21191043343998178,2527.562227226372
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, PPT_1d","PercWet_1d, PPT_1d",0.9718121063100122,0.032637963944607336,2718.529815301785
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, PPT_7d","PercWet_1d, PPT_7d",0.9605594717243702,0.06798605753958883,2682.7565498933727
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, PPT_14d","PercWet_1d, PPT_14d",0.9405788833354375,0.10703551942159277,2641.624818109841
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, PPT_30d","PercWet_1d, PPT_30d",0.9012309506439308,0.13361104776734078,2612.590259227787
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, PPT_60d","PercWet_1d, PPT_60d",0.9178640924744269,0.12003541915100585,2627.531611775271
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Q_1d","PercWet_1d, Q_1d",0.9570995445965006,0.06906050980159734,2681.6480425950413
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Q_7d",Q_7d,0.9562573045804034,0.04382412322782417,2703.3524736071095
minDO.pctsat,linear,"PercWet_1d, dPercWet_60d, Q_14d",Q_14d,0.9437373446297581,0.06492683257489369,2681.905752527176
